                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0123,                 1.4682,                 1.0843,                0.67033,                0.46839,                0.49461,                0.33903,                 1.2143,                 1.5765,                 1.2782,             0.00029068,             0.00029068,             0.00029068
                     35,                 1.0201,                 1.5064,                 1.0996,                0.60098,                0.48355,                0.47362,                0.31944,                 1.2057,                 1.5628,                 1.2641,             0.00028899,             0.00028899,             0.00028899
                     36,                0.98228,                 1.4632,                 1.0796,                0.72136,                0.44798,                0.49723,                0.34019,                 1.1792,                 1.5699,                 1.2666,             0.00028729,             0.00028729,             0.00028729
                     37,                 0.9632,                 1.4481,                 1.0802,                0.74321,                0.44445,                0.50704,                0.35842,                 1.1867,                 1.5822,                 1.2628,             0.00028559,             0.00028559,             0.00028559
                     38,                0.98827,                 1.4295,                 1.0772,                0.71085,                0.46669,                0.50352,                0.35134,                 1.1967,                 1.5417,                 1.2705,             0.00028389,             0.00028389,             0.00028389
                     39,                 1.0003,                 1.4053,                 1.0714,                0.66816,                0.49612,                0.51231,                0.35266,                 1.2046,                 1.5053,                 1.2659,              0.0002822,              0.0002822,              0.0002822
                     40,                0.96471,                 1.3545,                 1.0598,                0.70814,                0.47494,                0.52148,                0.36392,                 1.2092,                 1.5466,                 1.2861,              0.0002805,              0.0002805,              0.0002805
                     41,                0.95906,                 1.3729,                 1.0775,                0.70168,                0.46103,                 0.5168,                0.35737,                  1.218,                 1.5098,                 1.2827,              0.0002788,              0.0002788,              0.0002788
                     42,                0.93833,                 1.3624,                 1.0672,                0.75646,                0.44398,                0.51847,                0.34635,                 1.2242,                 1.4961,                 1.2935,              0.0002771,              0.0002771,              0.0002771
                     43,                0.93982,                 1.3522,                 1.0522,                0.75832,                0.45222,                0.53389,                0.37163,                 1.1918,                  1.477,                 1.2766,             0.00027541,             0.00027541,             0.00027541
                     44,                0.98037,                 1.3848,                 1.0674,                0.76709,                0.47432,                0.54899,                0.38017,                 1.2153,                 1.5119,                 1.2818,             0.00027371,             0.00027371,             0.00027371
                     45,                0.95863,                 1.3647,                  1.053,                0.70061,                0.48727,                0.51408,                0.35394,                 1.1968,                 1.4809,                 1.2804,             0.00027201,             0.00027201,             0.00027201
                     46,                0.93624,                 1.3219,                 1.0589,                0.68283,                0.47303,                0.51907,                0.35349,                 1.2137,                 1.5273,                  1.269,             0.00027031,             0.00027031,             0.00027031
                     47,                0.93339,                 1.3194,                 1.0505,                 0.7643,                0.47395,                0.52446,                0.35634,                 1.2118,                 1.5122,                 1.2879,             0.00026862,             0.00026862,             0.00026862
                     48,                0.93634,                 1.3198,                 1.0589,                0.69467,                0.47066,                0.51723,                0.34619,                 1.1913,                 1.5198,                  1.273,             0.00026692,             0.00026692,             0.00026692
                     49,                0.92636,                  1.279,                 1.0444,                0.70299,                0.48305,                0.53703,                0.36035,                  1.205,                 1.4323,                 1.2999,             0.00026522,             0.00026522,             0.00026522
                     50,                0.95071,                 1.2764,                 1.0362,                0.66076,                0.47336,                0.51581,                0.35328,                 1.1978,                 1.5566,                 1.2803,             0.00026352,             0.00026352,             0.00026352
                     51,                0.93361,                 1.2959,                 1.0386,                0.72282,                0.43897,                 0.5098,                0.35758,                 1.1914,                 1.5422,                 1.2594,             0.00026183,             0.00026183,             0.00026183
                     52,                0.93583,                  1.294,                 1.0459,                0.73114,                0.47142,                0.52481,                0.35935,                 1.1776,                 1.4782,                 1.2644,             0.00026013,             0.00026013,             0.00026013
                     53,                0.93748,                 1.2347,                 1.0247,                0.83142,                0.44764,                0.53307,                0.36542,                 1.1994,                 1.4678,                  1.277,             0.00025843,             0.00025843,             0.00025843
                     54,                0.92116,                 1.2458,                 1.0348,                 0.7924,                 0.4501,                0.53629,                0.36745,                 1.1882,                  1.458,                 1.2651,             0.00025673,             0.00025673,             0.00025673
                     55,                0.92588,                  1.265,                 1.0463,                0.69274,                0.45435,                0.51739,                0.34647,                 1.2113,                 1.4957,                 1.2739,             0.00025504,             0.00025504,             0.00025504
                     56,                0.93952,                 1.2557,                 1.0323,                0.74097,                0.44766,                0.52203,                0.36375,                 1.2077,                 1.5143,                 1.2768,             0.00025334,             0.00025334,             0.00025334
                     57,                0.95091,                 1.2443,                 1.0349,                0.70461,                0.45725,                0.52164,                0.35587,                 1.2021,                 1.4981,                 1.2647,             0.00025164,             0.00025164,             0.00025164
                     58,                0.93532,                  1.259,                 1.0349,                0.68836,                0.46319,                0.53244,                 0.3707,                 1.1971,                 1.5251,                  1.273,             0.00024994,             0.00024994,             0.00024994
                     59,                0.92706,                 1.2245,                 1.0357,                0.64854,                0.52042,                 0.5251,                0.35703,                 1.2055,                 1.6024,                 1.2856,             0.00024825,             0.00024825,             0.00024825
                     60,                0.90303,                 1.1962,                 1.0248,                0.62658,                0.49979,                0.54248,                0.37434,                 1.1854,                 1.5218,                 1.2764,             0.00024655,             0.00024655,             0.00024655
                     61,                0.89375,                 1.1804,                  1.016,                0.65135,                0.48168,                0.53492,                0.36052,                 1.2052,                   1.47,                 1.2912,             0.00024485,             0.00024485,             0.00024485
                     62,                 0.9016,                 1.1941,                 1.0198,                0.81427,                0.44221,                0.54281,                0.37042,                 1.1991,                 1.4565,                 1.2802,             0.00024315,             0.00024315,             0.00024315
                     63,                0.90308,                 1.1782,                 1.0044,                0.75037,                0.45146,                0.51502,                0.34273,                 1.2089,                 1.5112,                 1.2933,             0.00024146,             0.00024146,             0.00024146
                     64,                0.91702,                 1.1955,                 1.0228,                0.65777,                0.48372,                0.52721,                0.34983,                 1.2175,                 1.4983,                 1.2973,             0.00023976,             0.00023976,             0.00023976
                     65,                0.89979,                  1.195,                 1.0146,                0.68216,                0.44798,                 0.5169,                0.35181,                 1.2026,                 1.5111,                 1.2808,             0.00023806,             0.00023806,             0.00023806
                     66,                0.87014,                 1.1625,                  1.015,                0.85613,                0.43221,                0.54139,                0.36723,                 1.2096,                 1.4304,                  1.285,             0.00023637,             0.00023637,             0.00023637
                     67,                0.87237,                 1.1385,                  1.012,                0.74968,                0.44843,                0.54569,                0.36856,                 1.1785,                 1.4181,                 1.2603,             0.00023467,             0.00023467,             0.00023467
                     68,                0.88114,                 1.1513,                  1.021,                0.77291,                0.44511,                0.52882,                0.36259,                  1.184,                 1.4205,                 1.2751,             0.00023297,             0.00023297,             0.00023297
                     69,                0.90278,                 1.1613,                 1.0207,                0.64559,                0.48681,                0.51548,                0.34056,                 1.1701,                 1.4347,                 1.2668,             0.00023127,             0.00023127,             0.00023127
                     70,                0.91395,                  1.144,                 1.0169,                0.71695,                0.46469,                0.54268,                0.36787,                 1.1913,                 1.4427,                 1.2821,             0.00022958,             0.00022958,             0.00022958
                     71,                0.88486,                 1.1459,                 1.0145,                0.75295,                0.45924,                0.54043,                 0.3704,                 1.1954,                 1.4577,                  1.285,             0.00022788,             0.00022788,             0.00022788
                     72,                0.88023,                 1.1335,                 1.0133,                0.84267,                0.44924,                 0.5439,                0.36126,                 1.1907,                 1.4307,                   1.27,             0.00022618,             0.00022618,             0.00022618
                     73,                0.87242,                 1.1141,                 1.0146,                0.80866,                0.43706,                0.53832,                0.35506,                 1.2005,                 1.4176,                 1.2806,             0.00022448,             0.00022448,             0.00022448
                     74,                0.88002,                 1.1182,                 0.9927,                0.76769,                0.46981,                0.54224,                0.36566,                 1.2082,                 1.4188,                 1.2818,             0.00022279,             0.00022279,             0.00022279
                     75,                0.86149,                 1.0964,                0.98783,                0.67908,                0.49724,                0.54583,                0.36452,                 1.1956,                 1.3882,                 1.2755,             0.00022109,             0.00022109,             0.00022109
                     76,                0.90222,                 1.1116,                 1.0247,                 0.6651,                 0.4955,                0.53708,                0.36059,                 1.2184,                 1.4214,                 1.2898,             0.00021939,             0.00021939,             0.00021939
                     77,                0.86378,                 1.0874,                 0.9981,                0.67938,                0.50621,                0.53602,                0.36271,                 1.2099,                 1.4437,                 1.3004,             0.00021769,             0.00021769,             0.00021769
                     78,                0.86773,                 1.0906,                 1.0019,                0.71051,                0.47412,                0.53692,                0.35947,                 1.2085,                 1.4081,                  1.281,               0.000216,               0.000216,               0.000216
                     79,                0.85825,                 1.0645,                0.99516,                0.69938,                0.50939,                0.54824,                0.37144,                 1.1836,                 1.4203,                 1.2681,              0.0002143,              0.0002143,              0.0002143
                     80,                0.87026,                 1.0879,                  1.003,                 0.7802,                0.47943,                0.55344,                0.37724,                 1.1809,                 1.4033,                 1.2611,              0.0002126,              0.0002126,              0.0002126
                     81,                0.86152,                 1.0528,                0.99261,                0.79423,                 0.4738,                0.55355,                0.37896,                 1.1963,                 1.4108,                 1.2697,              0.0002109,              0.0002109,              0.0002109
                     82,                0.83565,                 1.0352,                0.98427,                0.76448,                0.46956,                0.53336,                0.36319,                 1.2054,                 1.4289,                 1.2812,             0.00020921,             0.00020921,             0.00020921
                     83,                0.86764,                 1.0673,                0.99364,                0.75396,                0.45435,                0.53258,                0.35235,                 1.1958,                 1.4021,                 1.2813,             0.00020751,             0.00020751,             0.00020751
                     84,                0.86348,                 1.0591,                 1.0083,                0.64999,                0.49484,                0.52707,                 0.3571,                 1.1917,                 1.4051,                 1.2704,             0.00020581,             0.00020581,             0.00020581
                     85,                0.85654,                 1.0538,                0.99065,                0.75222,                 0.4491,                0.53391,                0.36101,                 1.1913,                 1.4402,                 1.2684,             0.00020411,             0.00020411,             0.00020411
                     86,                  0.829,                 1.0327,                0.97759,                0.79872,                0.45624,                0.53365,                0.36191,                 1.1781,                 1.4395,                 1.2654,             0.00020242,             0.00020242,             0.00020242
                     87,                0.82896,                 1.0516,                0.99535,                0.75027,                0.45547,                0.53384,                 0.3672,                  1.183,                 1.3726,                 1.2548,             0.00020072,             0.00020072,             0.00020072
                     88,                0.86127,                 1.0637,                0.99252,                0.75391,                0.45628,                0.52274,                0.35914,                 1.2086,                 1.4183,                 1.2888,             0.00019902,             0.00019902,             0.00019902
                     89,                0.82417,                 1.0587,                0.99789,                0.75937,                0.46283,                0.53794,                0.36323,                 1.2031,                 1.4757,                 1.2897,             0.00019732,             0.00019732,             0.00019732
                     90,                0.83525,                 1.0272,                0.98072,                0.80641,                0.45876,                0.53872,                0.36979,                 1.1704,                 1.4179,                 1.2667,             0.00019563,             0.00019563,             0.00019563
                     91,                0.83156,                 1.0205,                0.98093,                0.66641,                0.48769,                0.53944,                0.36827,                 1.1901,                 1.4098,                 1.2779,             0.00019393,             0.00019393,             0.00019393
                     92,                0.84538,                 1.0145,                0.98125,                0.71301,                 0.4833,                0.53734,                0.37246,                 1.1735,                  1.414,                  1.275,             0.00019223,             0.00019223,             0.00019223
                     93,                0.79042,                0.98522,                0.97977,                0.74391,                0.46185,                0.53835,                0.36387,                 1.1977,                 1.4692,                 1.2961,             0.00019054,             0.00019054,             0.00019054
                     94,                0.84395,                 1.0349,                 0.9797,                0.77113,                0.45297,                0.51867,                0.35007,                 1.1955,                 1.4081,                 1.2828,             0.00018884,             0.00018884,             0.00018884
